Filename,Class Name,Substructure,Status
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(hh)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(hh)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rh)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rh)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rr)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rr)c.(hh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(hh)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(hh)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rh)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rh)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rr)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rr)c.(rh),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(hh)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(hh)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rh)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rh)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(h)c(rr)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)c.(XX),co(r)c(rr)c.(rr),UNIQUE
subsAldKetone.sdf,co(X)c(XX)co(X),co(h)c(hh)co(h),UNIQUE
subsAldKetone.sdf,co(X)c(XX)co(X),co(r)c(hh)co(h),UNIQUE
subsAldKetone.sdf,co(X)c(XX)co(X),co(h)c(rh)co(h),UNIQUE
