Filename,Class Name,Substructure,Status
subsOlefinGammaPeroxy.sdf,c=ccccoo(XX)(XX)(XX),c=ccccoo(rr)(rr)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(hh)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(hh)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rh)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rh)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rr)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rr)(hh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(hh)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(hh)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rh)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rh)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rr)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rr)(rh),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(hh)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(hh)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rh)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rh)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(h)(rr)(rr),UNIQUE
subsOlefinGammaHydroPeroxyAlphaRad.sdf,c=ccccooh(X)(XX)(XX),c=ccccooh(r)(rr)(rr),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(hh)(hh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rh)(hh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rr)(hh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(hh)(rh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rh)(rh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rr)(rh),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(hh)(rr),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rh)(rr),UNIQUE
subsOlefinBetaPeroxy.sdf,c=cccoo(XX)(XX),c=cccoo(rr)(rr),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(h)(hh),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(r)(hh),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(h)(rh),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(r)(rh),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(h)(rr),UNIQUE
subsOlefinBetaHydroPeroxy.sdf,c=cccooh(X)(XX),c=cccooh(r)(rr),UNIQUE
subsPropenal.sdf,c=cco(X),c=cco(h),UNIQUE
subsPropenal.sdf,c=cco(X),c=cco(r),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(h)(hhh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(r)(hhh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(h)(rhh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(r)(rhh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(h)(rrh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(r)(rrh),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(h)(rrr),UNIQUE
subsOlefinAlphaPeroxy.sdf,c=ccooc(X)(XXX),c=ccooc(r)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(hh)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(hh)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rh)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rh)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rr)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rr)(hhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(hh)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(hh)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rh)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rh)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rr)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rr)(rhh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(hh)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(hh)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rh)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rh)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rr)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rr)(rrh),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(hh)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(hh)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rh)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rh)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(h)(rr)(rrr),UNIQUE
subsOlefinAlphaPeroxyC5.sdf,c=ccoocc(X)(XX)(XXX),c=ccoocc(r)(rr)(rrr),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(h)(hhh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(r)(hhh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(h)(rhh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(r)(rhh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(h)(rrh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(r)(rrh),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(h)(rrr),UNIQUE
subsOlefinAlphaPeroxyC6.sdf,c=ccooccc(X)(XXX),c=ccooccc(r)(rrr),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(h)(hhh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(r)(hhh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(h)(rhh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(r)(rhh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(h)(rrh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(r)(rrh),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(h)(rrr),UNIQUE
subsOlefinAlphaPeroxyC7.sdf,c=ccoocccc(X)(XXX),c=ccoocccc(r)(rrr),UNIQUE
